symbol_binance,symbol_common,class,name,listing_date,description,exclude,exclude_reason,classification_note
ACEUSDT,ACE,GameFi,ACE,2023-12-18,Gaming ecosystem token associated with ACE; used for governance and in-game economy operations within the GameFi ecosystem.,False,,Assigned via curated taxonomy + Binance tags
AGLDUSDT,AGLD,GameFi,AGLD,2023-01-01,Gaming ecosystem token associated with AGLD; used for governance and in-game economy operations within the GameFi ecosystem.,False,,Assigned via curated taxonomy + Binance tags
AIUSDT,AI,GameFi,AI,2024-01-04,Gaming ecosystem token associated with AI; used for governance and in-game economy operations within the GameFi ecosystem.,False,,Assigned via curated taxonomy + Binance tags
ALICEUSDT,ALICE,GameFi,ALICE,2023-01-01,Gaming ecosystem token associated with ALICE; used for governance and in-game economy operations within the GameFi ecosystem.,False,,Assigned via curated taxonomy + Binance tags
AXSUSDT,AXS,GameFi,AXS,2023-01-01,Gaming ecosystem token associated with AXS; used for governance and in-game economy operations within the GameFi ecosystem.,False,,Assigned via curated taxonomy + Binance tags
BEAMXUSDT,BEAMX,GameFi,BEAMX,2023-01-01,Gaming ecosystem token associated with BEAMX; used for governance and in-game economy operations within the GameFi ecosystem.,False,,Assigned via curated taxonomy + Binance tags
CATIUSDT,CATI,GameFi,CATI,2024-09-20,Gaming ecosystem token associated with CATI; used for governance and in-game economy operations within the GameFi ecosystem.,False,,Assigned via curated taxonomy + Binance tags
ENJUSDT,ENJ,GameFi,ENJ,2023-01-01,Gaming ecosystem token associated with ENJ; used for governance and in-game economy operations within the GameFi ecosystem.,False,,Assigned via curated taxonomy + Binance tags
GALAUSDT,GALA,GameFi,GALA,2023-01-01,Gaming ecosystem token associated with GALA; used for governance and in-game economy operations within the GameFi ecosystem.,False,,Assigned via curated taxonomy + Binance tags
HMSTRUSDT,HMSTR,GameFi,HMSTR,2024-09-26,Gaming ecosystem token associated with HMSTR; used for governance and in-game economy operations within the GameFi ecosystem.,False,,Assigned via curated taxonomy + Binance tags
ILVUSDT,ILV,GameFi,ILV,2023-01-01,Gaming ecosystem token associated with ILV; used for governance and in-game economy operations within the GameFi ecosystem.,False,,Assigned via curated taxonomy + Binance tags
IMXUSDT,IMX,GameFi,IMX,2023-01-01,Gaming ecosystem token associated with IMX; used for governance and in-game economy operations within the GameFi ecosystem.,False,,Assigned via curated taxonomy + Binance tags
MANAUSDT,MANA,GameFi,MANA,2023-01-01,Gaming ecosystem token associated with MANA; used for governance and in-game economy operations within the GameFi ecosystem.,False,,Assigned via curated taxonomy + Binance tags
MBLUSDT,MBL,GameFi,MBL,2023-01-01,Gaming ecosystem token associated with MBL; used for governance and in-game economy operations within the GameFi ecosystem.,False,,Assigned via curated taxonomy + Binance tags
MBOXUSDT,MBOX,GameFi,MBOX,2023-01-01,Gaming ecosystem token associated with MBOX; used for governance and in-game economy operations within the GameFi ecosystem.,False,,Assigned via curated taxonomy + Binance tags
NOTUSDT,NOT,GameFi,NOT,2024-05-16,Gaming ecosystem token associated with NOT; used for governance and in-game economy operations within the GameFi ecosystem.,False,,Assigned via curated taxonomy + Binance tags
PIXELUSDT,PIXEL,GameFi,PIXEL,2024-02-19,Gaming ecosystem token associated with PIXEL; used for governance and in-game economy operations within the GameFi ecosystem.,False,,Assigned via curated taxonomy + Binance tags
PORTALUSDT,PORTAL,GameFi,PORTAL,2024-02-29,Gaming ecosystem token associated with PORTAL; used for governance and in-game economy operations within the GameFi ecosystem.,False,,Assigned via curated taxonomy + Binance tags
PYRUSDT,PYR,GameFi,PYR,2023-01-01,Gaming ecosystem token associated with PYR; used for governance and in-game economy operations within the GameFi ecosystem.,False,,Assigned via curated taxonomy + Binance tags
SANDUSDT,SAND,GameFi,SAND,2023-01-01,Gaming ecosystem token associated with SAND; used for governance and in-game economy operations within the GameFi ecosystem.,False,,Assigned via curated taxonomy + Binance tags
SLPUSDT,SLP,GameFi,SLP,2023-01-01,Gaming ecosystem token associated with SLP; used for governance and in-game economy operations within the GameFi ecosystem.,False,,Assigned via curated taxonomy + Binance tags
TLMUSDT,TLM,GameFi,TLM,2023-01-01,Gaming ecosystem token associated with TLM; used for governance and in-game economy operations within the GameFi ecosystem.,False,,Assigned via curated taxonomy + Binance tags
VOXELUSDT,VOXEL,GameFi,VOXEL,2023-01-01,Gaming ecosystem token associated with VOXEL; used for governance and in-game economy operations within the GameFi ecosystem.,False,,Assigned via curated taxonomy + Binance tags
XAIUSDT,XAI,GameFi,XAI,2024-01-09,Gaming ecosystem token associated with XAI; used for governance and in-game economy operations within the GameFi ecosystem.,False,,Assigned via curated taxonomy + Binance tags
YGGUSDT,YGG,GameFi,YGG,2023-01-01,Gaming ecosystem token associated with YGG; used for governance and in-game economy operations within the GameFi ecosystem.,False,,Assigned via curated taxonomy + Binance tags
ADAUSDT,ADA,Native,ADA,2023-01-01,"Native token of the ADA base-layer blockchain (Proof of Stake); used to pay transaction fees and secure the network, with chain-specific monetary properties.",False,,Assigned via curated taxonomy + Binance tags
ALGOUSDT,ALGO,Native,ALGO,2023-01-01,"Native token of the ALGO base-layer blockchain (Proof of Stake); used to pay transaction fees and secure the network, with chain-specific monetary properties.",False,,Assigned via curated taxonomy + Binance tags
ATOMUSDT,ATOM,Native,ATOM,2023-01-01,"Native token of the ATOM base-layer blockchain (Proof of Stake); used to pay transaction fees and secure the network, with chain-specific monetary properties.",False,,Assigned via curated taxonomy + Binance tags
